id,url or alias text,referring record id,number of referrals,type,associated publisher,tags,name/title,language,authors,date of publication,plain text,image reference,anchor text,
e93fd1c0-8664-5863-890a-8eb0caac2760,https://abcnews.go.com/,205811423551553536 761023335727702016 200301896383201281 403062201201618944 ,4,domain,ABC News,left-center Referring International NAmerica ,ABC News,null,null,null,null,null,null,
0f8ed509-4c91-5f4b-a4d0-e14ad00e1972,https://www.afp.com/en,967898051976335362 1006430510074085378 937399242007695360 1018914959307296768 937398129263042560 ,5,domain,Agence France Presse,Referring International Europe ,Agence France Presse,null,null,null,null,null,null,
9aeb93a6-b1b1-5692-89d6-9e309296d704,https://alghad.com,563003928930168832 ,1,domain,Al Ghad,Referring International MENA ,Al Ghad,null,null,null,null,null,null,
e37933b7-7587-5bce-ba09-1716711e3035,https://www.aljazeera.com/,73339594824892416 311056248009261056 310009059287912448 190795679369670656 127408969756053504 119756522497654784 118430466108956673 117948913348120576 117572280959246336 112951807000576000 98238230633263104 87601280377290753 87477688830406656 78873114309701632 77430291353964544 50001099582742528 351688475545833472 105417875912785920 557289432899158017 549611570784108544 298105722649079808 270825163552075778 127515921366519808 122679479104585728 114957874265985025 111852965970706433 111480109315276800 105963414320459776 97735323819315201 97517660069298176 94452367805775872 90821285101309953 85382372652089344 76844628283891712 352551958684512256 161838390453608448 173760825935400960 130008314259058688 101568647016878080 96684925041913859 86073871450648577 66742301099180032 64454684114558976 518987432721911808 477911894192578560 181932238940811264 130643086123610113 116864186172178433 114601363895369728 104795136407515136 99822387654172673 98091801851867136 96975536680738816 96280944171945985 84607398739841024 80273073252741120 49917483880161280 652749855182430208 503632281870016512 560414722197966849 181851181201620993 121987353467297793 120966546246991872 118810097676845056 117317124527095809 112605590626369536 99805460206587904 98048371155140609 94883198386962432 92619311390269442 86879409847549953 82482250595319809 81356239245807616 75283291313422336 353489074864128000 406071581589639168 182181344040845312 252633488459698176 117925967690870786 115839043132080128 354831161220014081 131348163616444416 126757600883785728 114765971272634369 107650955675316224 104194249234448384 102336239339974658 101891232447463427 99113067115319296 91424067449667585 88689258520522752 87626932665069569 82317185313280000 49176259535704064 427217777577832448 444689127158845441 387955272486244353 378429172731084800 123540918862233600 121165800634728448 116230815775604736 111849646028095488 111085818361298945 96905087535947776 94109419163484160 93717632821366786 91436363311886337 88909205666410496 86370507552854016 76721464623116289 72448996949495808 217334443222900736 542800815535431680 434757008903110657 365828797888606210 242192886538596352 181791495081299968 121165926300262401 119825606799130624 113195833134030848 111852084864884736 111155207907459075 104930745092542464 101263711246880768 99227400579186688 96550810460241920 93292653491392512 89538963160842240 87923349082210305 82896675559051264 66341334306402306 65407834044628994 243404728728432640 417927373821329408 79798843876716544 432975291699716096 431025646282633219 214617774411096064 180047773763239937 410404141119197184 61397552511188992 381071608888446976 192826421243150336 124074584386453504 114000419759472640 105540920115601409 104522035266461696 98296488630824961 96527233421803520 87478368685142016 80757077462622208 67352522737729536 62356368677535744 49119932771864577 40612563817467904 367484444254695424 517583664851742721 503574567906865153 386759565662244864 138354544311681024 309161944944881664 182565164183322625 130992114724122624 120572546830704640 118365971231682560 118020138732761088 115761439960080384 114000986992947200 104591429862559744 99111068592381954 95837418619551744 91938953460060160 90858968775274496 82525707418349569 50257354138193920 375079064660238336 109212548091494400 366181814450139136 237842236409274368 226622569497886721 106036943057457152 84611858174185473 386576445243674624 243947676511633408 242977957788925953 137919018760806400 123137886555090947 104196382688157696 99123577357467648 98433455590871040 97717467232739328 92691977451212801 92189470954229761 90277617617477632 81010223753609217 79328930749874176 72448514889748482 68791225272111104 68078009806094336 47351926836301825 462282042093617152 239380784094511105 181792559193001985 110757184102596608 104773876285833217 103801537419165697 101973543683760129 100228344972451841 97731554532536321 96551183606497280 94875427436371968 91532535267463168 89541002104274944 86685912485994497 85381343713820672 82352754382733312 65408059790458880 500672339638763520 ,218,domain,Al Jazeera,left-center Referring International MENA ,Al Jazeera,null,null,null,null,null,null,
e5afe261-4de0-503c-86d6-f5e71f49f031,https://www.antiwar.com/,124106283476463617 ,1,domain,Antiwar Blog,Referring International NAmerica ,Antiwar Blog,null,null,null,null,null,null,
b615442b-10f4-5a29-9353-274f3c6f5243,https://calgaryherald.com,257931108484784129 246308785516318720 464964638732337152 419310653154025472 301174970497785856 ,5,domain,Calgary Herald,Referring International NAmerica ,Calgary Herald,null,null,null,null,null,null,
3661c76b-2f69-5bb2-9d55-b4abe98cfc08,https://www.cbsnews.com/,978054821432393728 593044518519361536 238030247084310529 484740559287103488 539841185322266624 279643718917709824 298949028790542336 690199241092890624 690199379429453824 344511590374195200 943594673314193408 550647030402793472 537463346090754048 ,13,domain,CBS News,left-center Referring International NAmerica ,CBS News,null,null,null,null,null,null,
e7e87778-ba90-5bcd-9de5-c2e1281e9486,https://www.cnn.com,0dcc12bd-e822-5f0d-ad4a-ec3c0f364cee_1625777472590 ,1,domain,CNN,left-center Referring International NAmerica ,CNN,null,null,null,null,null,null,
0634a0d0-4582-552d-8ae5-8217cb341ff8,https://www.dailymail.co.uk,0dcc12bd-e822-5f0d-ad4a-ec3c0f364cee_1625777472590 1353842539565092864 357692098788593666 420345017605963776 395192147432849408 590052607131000832 372436750989144066 420256834184679425 686569862110560256 980283149837062147 377322897561645056 441418668325736448 393717958708842497 450355851266904064 362626497334362112 983843359746863104 527767505377714176 354418839229968384 ,18,domain,Daily Mail,right Referring International Europe ,Daily Mail,null,null,null,null,null,null,
1a71f61c-8323-56f8-93b1-8f90135617d1,https://edmontonjournal.com,287317961633562626 281112449644642304 367994066077634562 473991820590858240 344053756935143426 ,5,domain,Edmonton Journal,Referring International NAmerica ,Edmonton Journal,null,null,null,null,null,null,
